58.192.0.0   江苏省连云港市 淮海工学院
58.194.0.0   黑龙江省哈尔滨市 黑龙江大学
58.194.8.0   广东省广州市 南华工商学院
58.194.10.0   江苏省常州市 常州大学
58.194.12.0   中国 教育网
58.194.16.0   江苏省常州市 常州大学
58.194.24.0   广东省广州市 南华工商学院
58.194.32.0   辽宁省沈阳市 沈阳农业大学
58.194.64.0   上海市 上海电机学院
58.194.96.0   天津市 天津职业大学
58.194.120.0   黑龙江省哈尔滨市 哈尔滨医科大学
58.194.128.0   宁夏自治区银川市 宁夏大学新华学院
58.194.144.0   中国 教育网
58.194.160.0   山东省济南市 山东大学
58.194.192.0   山东省烟台市 鲁东大学
58.194.216.0   中国 教育网
58.194.224.0   北京市 北京航空航天大学
58.194.232.0   北京市 北京语言大学
58.195.0.0   湖北省武汉市 湖北第二师范学院
58.195.8.0   北京市 北京航空航天大学个人业务项目
58.195.16.0   山东省济南市 山东财政学院学生宿舍
58.195.32.0   福建省厦门市 集美大学
58.195.64.0   北京市 北京服装学院个人业务项目
58.195.80.0   北京市 教育网络视频会议系统
58.195.82.48   陕西省西安市 教育网络视频会议系统
58.195.82.64   北京市 教育网络视频会议系统
58.195.96.0   中国 教育网
58.195.128.0   陕西省西安市 西安交通大学第二附属医院
58.195.136.0   山东省青岛市 青岛农业大学
58.195.160.0   湖北省武汉市 武汉理工大学
58.195.176.0   中国 教育网
58.196.128.0   上海市 上海交通大学
58.196.192.0   中国 教育网
58.198.0.0   上海市 上海应用技术学院
58.198.16.0   上海市 中侨职业技术学院
58.198.20.0   上海市 上海立达职业技术学院
58.198.24.0   上海市 上海行建职业学院
58.198.28.0   上海市 上海师范大学天华学院
58.198.36.0   上海市 上海电影艺术职业学院
58.198.38.0   上海市 上海科学技术职业学院
58.198.40.0   上海市 第一人民医院
58.198.41.0   上海市 交通银行股份有限公司
58.198.42.0   上海市 帝联信息科技发展有限公司
58.198.43.0   上海市 上海体育职业学院
58.198.44.0   上海市 上海民远职业技术学院
58.198.45.0   上海市 中国教学仪器设备上海分公司
58.198.46.0   上海市 我要网发展有限公司
58.198.47.0   上海市 黄浦区教育信息中心
58.198.48.0   上海市 上海商学院个人业务项目
58.198.64.0   上海市 上海大学
58.198.128.0   上海市 上海海洋大学
58.198.176.0   上海市 华东师范大学
58.198.192.0   上海市 长城宽带
58.198.224.0   上海市 上海对外经贸大学
58.199.0.0   福建省厦门市 集美大学
58.199.48.0   福建省漳州市 漳州城市职业学院
58.199.52.0   福建省漳州市 漳州理工职业学院
58.199.56.0   福建省厦门市 厦门华厦职业学院
58.199.60.0   福建省厦门市 厦门东海学院
58.199.64.0   福建省厦门市 厦门大学海韵分校
58.199.96.0   福建省厦门市 集美大学
58.199.128.0   上海市 上海大学
58.199.192.0   福建省厦门市 厦门理工学院
58.200.0.0   江苏省南京市 ETS合作考试项目
58.200.1.0   广东省深圳市 ETS合作考试项目
58.200.2.0   北京市 ETS合作考试项目
58.200.3.0   辽宁省大连市 ETS合作考试项目
58.200.4.0   北京市 ETS合作考试项目
58.200.5.0   江苏省 ETS合作考试项目
58.200.6.0   北京市 ETS合作考试项目
58.200.32.0   中国 教育网
58.200.64.0   北京市 ETS合作考试项目
58.200.64.128   江苏省 ETS合作考试项目
58.200.65.0   北京市 ETS合作考试项目
58.200.68.0   江西省南昌市 ETS合作考试项目
58.200.69.0   北京市 ETS合作考试项目
58.200.127.232   吉林省长春市 ETS合作考试项目
58.200.127.240   河南省开封市 ETS合作考试项目
58.200.127.248   湖北省武汉市 ETS合作考试项目
58.200.128.0   中国 教育网
58.205.192.0   广东省广州市 CERNET全国分布式数据中心项目(广州)
58.205.196.0   北京市 CERNET全国分布式数据中心项目
58.205.216.0   北京市 CERNET全国分布式数据中心项目(北京)
58.205.220.0   湖北省武汉市 CERNET全国分布式数据中心项目(武汉)
58.205.224.0   湖北省武汉市 华中科技大学无线校园项目
58.206.0.0   四川省成都市 电子科技大学无线校园项目
58.206.32.0   广东省广州市 华南理工大学无线校园项目
58.206.64.0   辽宁省沈阳市 东北大学无线校园项目
58.206.96.0   陕西省西安市 西安交通大学无线校园项目
58.206.128.0   天津市 天津大学无线校园项目
58.206.160.0   甘肃省兰州市 兰州大学无线校园项目
58.206.192.0   浙江省杭州市 浙江大学无线校园项目
58.206.224.0   北京市 清华大学无线校园项目
58.207.0.0   北京市 教育网直通车
58.207.16.0   上海市 教育网直通车
58.207.40.0   甘肃省兰州市 教育网直通车
58.207.48.0   安徽省合肥市 教育网直通车
58.207.64.0   新疆自治区乌鲁木齐市 教育网直通车
58.207.68.0   山东省济南市 教育网直通车
58.207.72.0   云南省 教育网直通车
58.207.80.0   重庆市 教育网直通车
58.207.96.0   江苏省南京市 教育网直通车
58.207.120.0   湖南省 教育网直通车
58.207.128.0   广东省广州市 教育网直通车
58.207.144.0   湖北省武汉市 教育网直通车
58.207.160.0   辽宁省沈阳市 教育网直通车
58.207.176.0   陕西省西安市 教育网直通车
58.207.200.0   河南省郑州市 教育网直通车
58.207.224.0   河北省 教育网直通车
58.207.248.0   湖南省 教育网直通车
58.208.0.0   江苏省苏州市 电信
58.212.0.0   江苏省南京市 电信
58.214.0.0   江苏省无锡市 电信
58.216.0.0   江苏省常州市 电信
58.217.0.0   江苏省镇江市 电信
58.217.128.0   江苏省南京市 电信
58.218.0.0   江苏省徐州市 电信
58.219.0.0   江苏省无锡市 电信
58.219.128.0   江苏省盐城市 电信
58.220.0.0   江苏省扬州市 电信
58.221.0.0   江苏省南通市 电信
58.222.0.0   江苏省泰州市 电信
58.223.0.0   江苏省南京市 电信
58.223.10.0   江苏省常州市 电信
58.223.15.0   江苏省淮安市 电信
58.223.18.0   江苏省连云港市 电信
58.223.21.0   江苏省南京市 电信
58.223.35.0   江苏省南通市 电信
58.223.41.0   江苏省苏州市 电信
58.223.44.0   江苏省宿迁市 电信
58.223.46.0   江苏省泰州市 电信
58.223.49.0   江苏省无锡市 电信
58.223.59.0   江苏省徐州市 电信
58.223.63.0   江苏省盐城市 电信
58.223.70.0   江苏省扬州市 电信
58.223.74.0   江苏省镇江市 电信
58.223.77.0   江苏省南京市 电信
58.223.84.0   江苏省盐城市 电信
58.223.88.0   江苏省徐州市 电信
58.223.92.0   江苏省连云港市 电信
58.223.94.0   江苏省宿迁市 电信
58.223.96.0   江苏省淮安市 电信
58.223.98.0   江苏省镇江市 电信
58.223.100.0   江苏省扬州市 电信
58.223.104.0   江苏省南京市 电信
58.223.112.0   江苏省无锡市 电信
58.223.120.0   江苏省常州市 电信
58.223.124.0   江苏省南通市 电信
58.223.128.0   江苏省泰州市 电信
58.223.130.0   江苏省苏州市 电信
58.223.140.0   江苏省盐城市 电信
58.223.141.0   江苏省南通市 电信
58.223.142.0   江苏省南京市 电信
58.223.147.0   江苏省苏州市 电信
58.223.148.0   江苏省无锡市 电信
58.223.149.0   江苏省南通市 电信
58.223.150.0   江苏省常州市 电信
58.223.151.0   江苏省镇江市 电信
58.223.152.0   江苏省淮安市 电信
58.223.153.0   江苏省宿迁市 电信
58.223.154.0   江苏省连云港市 电信
58.223.155.0   江苏省盐城市 电信
58.223.156.0   江苏省徐州市 电信
58.223.157.0   江苏省扬州市 电信
58.223.158.0   江苏省泰州市 电信
58.223.160.0   江苏省宿迁市 电信
58.223.164.0   江苏省淮安市 电信
58.223.176.0   江苏省连云港市 电信
58.223.184.0   江苏省无锡市 电信
58.223.192.0   江苏省扬州市 电信
58.223.200.0   江苏省常州市 电信
58.223.208.0   江苏省盐城市 电信
58.223.216.0   江苏省南通市 电信
58.223.224.0   江苏省镇江市 电信
58.223.225.0   江苏省常州市 电信
58.223.226.0   江苏省南京市 电信
58.223.227.0   江苏省南通市 电信
58.223.228.0   江苏省无锡市 电信
58.223.229.0   江苏省泰州市 电信
58.223.230.0   江苏省扬州市 电信
58.223.231.0   江苏省盐城市 电信
58.223.232.0   江苏省徐州市 电信
58.223.234.0   江苏省常州市 电信
58.223.235.0   江苏省镇江市 电信
58.223.236.0   江苏省南通市 电信
58.223.237.0   江苏省淮安市 电信
58.223.238.0   江苏省连云港市 电信
58.223.239.0   江苏省宿迁市 电信
58.223.240.0   江苏省盐城市 电信
58.223.241.0   江苏省泰州市 电信
58.223.242.0   江苏省无锡市 电信
58.223.244.0   江苏省苏州市 电信
58.223.248.0   江苏省盐城市 电信
58.223.249.0   江苏省南京市 电信
58.223.252.0   江苏省扬州市 电信
58.223.254.0   江苏省无锡市 电信
58.223.255.0   江苏省南京市 电信
58.224.0.0   韩国 
